EGRESS_FIREWALL_LOGICAL,HOSTNAME,MGMT_IP,STATUS
MDC-Middletown,mid-fw-glr-pa-a,10.54.138.213,Online
MDC-Middletown,mid-fw-glr-pa-b,10.54.138.214,Online
WDC-Windsor,win-fw-glr-pa-a,10.55.138.202,OFFLINE
WDC-Windsor,win-fw-glr-pa-b,10.55.138.203,OFFLINE
SHEA-DC-WIRELESS,PAZSHDC-SEC-EXTWIR-PA-01,10.10.124.85,Online
SHEA-DC-WIRELESS,PAZSHDC-SEC-EXTWIR-PA-02,10.10.124.86,Online
SHEA-DC-EXT,PAZSHDC-SEC-EXT-NET-PA-01,10.10.124.75,Online
SHEA-DC-EXT,PAZSHDC-SEC-EXT-NET-PA-02,10.10.124.76,Online
RI-ONE-SEC-DMZ,RRIWSCP-SEC-EXT-EMPTEMP-PA-01,10.17.209.177,Online
RI-ONE-SEC-DMZ,RRIWSCP-SEC-EXT-EMPTEMP-PA-02,10.17.209.178,Online
CME-HUB-PROD,cme-fw-hubprodglr-1,10.159.101.100,Online
CME-HUB-PROD,cme-fw-hubprodglr-2,10.159.101.101,Online
CME-HUB-PROD,cme-fw-hubprodglr-3,10.159.101.102,Online
CME-HUB-PROD,cme-fw-hubprodglr-4,10.159.101.103,Online
CME-HUB-NONPROD,cme-fw-nonprodglr-1,10.159.69.101,Online
CME-HUB-NONPROD,cme-fw-nonprodglr-2,10.159.69.102,Online
MDC-Office,mid-fw-officeext-pa-a,10.54.141.213,Online
MDC-Office,mid-fw-officeext-pa-b,10.54.141.214,Online
CMC-HUB,cmc-fw-hubprodglr-1,10.159.3.4,Online
CMC-HUB,cmc-fw-hubprodglr-2,10.159.3.5,Online
LAS-VEGAS-COLO,lgs1501-01b-0104-ext-pa-fw01,10.20.10.53,Online
LAS-VEGAS-COLO,lgs1502-10c-0104-ext-pa-fw02,10.20.10.54,Online
